Year,Entiteit,Entité,Entity,Month,Number of imputed minutes of delay on passenger trains,Imputation in %
2016,Infrabel,Infrabel,Infrabel,,339614,21.85696761878283
2017,NMBS,SNCB,SNCB,2017-07,32855,31.985007788161994
2017,NMBS,SNCB,SNCB,2017-12,49613,34.438883528505286
2017,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2017-02,6643,6.199257171653072
2017,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2017-04,2271,2.8186320140000745
2017,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2017-07,5886,5.730140186915888
2017,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2017-11,3780,2.397047446320088
2017,Infrabel,Infrabel,Infrabel,2017-02,32911,30.712592620243008
2017,Infrabel,Infrabel,Infrabel,2017-05,41449,29.677229962911518
2017,Infrabel,Infrabel,Infrabel,2017-07,27139,26.420366043613708
2017,Infrabel,Infrabel,Infrabel,2017-08,20123,22.34448910701992
2017,Derden,Tiers,Third parties,2017-08,37850,42.02847054120678
2017,Toe te wijzen,A attribuer,To be imputed,2017-07,797,0.7758956386292835
2018,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2018-02,3096,2.28816377813089
2018,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2018-03,2717,1.901542510008119
2018,Toe te wijzen,A attribuer,To be imputed,2018-03,1023,0.715965398505081
2018,NMBS,SNCB,SNCB,2018-04,42855,32.50826834966775
2018,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2018-04,2765,2.09742998452529
2018,Infrabel,Infrabel,Infrabel,2018-04,37967,28.80040659040568
2018,NMBS,SNCB,SNCB,2018-06,47567,27.32134036369485
2016,Derden,Tiers,Third parties,,726575,46.76110598390271
2018,Toe te wijzen,A attribuer,To be imputed,2018-06,1009,0.5795453240054681
2016,Toe te wijzen,A attribuer,To be imputed,,9318,0.5996903080315252
2018,NMBS,SNCB,SNCB,2018-07,38835,26.51830708930254
2017,NMBS,SNCB,SNCB,2017-01,38202,35.9670099986819
2018,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2018-07,8894,6.073228357210167
2017,NMBS,SNCB,SNCB,2017-02,21525,20.08716101457661
2018,Derden,Tiers,Third parties,2018-07,63640,43.45629105608894
2017,NMBS,SNCB,SNCB,2017-08,30218,33.55393191054654
2018,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2018-08,6353,5.772410910610769
2017,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2017-06,6151,4.107786830506211
2018,Infrabel,Infrabel,Infrabel,2018-08,23664,21.501390176088968
2017,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2017-09,4459,3.3912871528094675
2018,Infrabel,Infrabel,Infrabel,2018-09,29469,19.23275226304145
2017,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2017-10,6969,4.385142490388427
2018,NMBS,SNCB,SNCB,2018-10,43156,29.15985351153394
2017,Infrabel,Infrabel,Infrabel,2017-01,22585,21.263675221722185
2018,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2018-11,7657,5.233158142936228
2017,Infrabel,Infrabel,Infrabel,2017-03,23115,19.946670808739775
2018,Toe te wijzen,A attribuer,To be imputed,2018-11,185,0.1264378028527102
2017,Infrabel,Infrabel,Infrabel,2017-09,32408,24.647865900033462
2018,Derden,Tiers,Third parties,2018-12,38034,36.32872944008252
2017,Derden,Tiers,Third parties,2017-01,36798,34.64515035682678
2018,Toe te wijzen,A attribuer,To be imputed,2018-12,237,0.2263740042409307
2017,Derden,Tiers,Third parties,2017-02,32047,29.906306575337354
2019,NMBS,SNCB,SNCB,2019-01,46341,34.151608053533
2017,Derden,Tiers,Third parties,2017-05,45967,32.912090272507264
2019,NMBS,SNCB,SNCB,2019-02,40284,36.05735665312114
2017,Derden,Tiers,Third parties,2017-06,69092,46.141311606785095
2019,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2019-02,3927,3.514974669268363
2017,Derden,Tiers,Third parties,2017-07,36043,35.088590342679126
2019,Infrabel,Infrabel,Infrabel,2019-03,24543,22.78449284242188
2017,Derden,Tiers,Third parties,2017-09,56650,43.0850902010891
2019,Toe te wijzen,A attribuer,To be imputed,2019-04,412,0.36604651989267367
2017,Derden,Tiers,Third parties,2017-12,64865,45.02606534731815
2019,Toe te wijzen,A attribuer,To be imputed,2019-05,1337,0.913906832085854
2017,Toe te wijzen,A attribuer,To be imputed,2017-03,1667,1.4385074729902316
2019,NMBS,SNCB,SNCB,2019-05,30029,20.52633377764107
2017,Toe te wijzen,A attribuer,To be imputed,2017-05,2188,1.5665945899503102
2019,Toe te wijzen,A attribuer,To be imputed,2019-06,237,0.185637747908638
2017,Toe te wijzen,A attribuer,To be imputed,2017-06,220,0.14692133030586352
2019,NMBS,SNCB,SNCB,2019-07,39575,29.70538562582098
2017,Toe te wijzen,A attribuer,To be imputed,2017-08,186,0.2065335672566568
2019,NMBS,SNCB,SNCB,2019-08,30795,34.703283824291745
2017,Toe te wijzen,A attribuer,To be imputed,2017-12,2414,1.6756790526235414
2019,Infrabel,Infrabel,Infrabel,2019-08,22460,25.31046451351169
2018,NMBS,SNCB,SNCB,2018-01,40845,31.24808739824959
2019,Toe te wijzen,A attribuer,To be imputed,2019-09,3,0.00256077574433215
2018,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2018-01,5105,3.9055327743435955
2019,NMBS,SNCB,SNCB,2019-09,39568,33.7749248839115
2018,Toe te wijzen,A attribuer,To be imputed,2018-01,809,0.6189179264336863
2019,Infrabel,Infrabel,Infrabel,2019-09,27857,23.77850996995357
2018,NMBS,SNCB,SNCB,2018-02,40673,30.060234285503117
2019,NMBS,SNCB,SNCB,2019-10,52780,36.478239534449756
2018,Infrabel,Infrabel,Infrabel,2018-02,39762,29.38694061564613
2019,Derden,Tiers,Third parties,2019-11,35492,26.8019905907584
2018,Derden,Tiers,Third parties,2018-02,51372,37.96755478363697
2019,Toe te wijzen,A attribuer,To be imputed,2019-12,79,0.07052878735124228
2018,Toe te wijzen,A attribuer,To be imputed,2018-02,402,0.2971065370828868
2019,Infrabel,Infrabel,Infrabel,2019-12,26421,23.5878619064199
2018,Toe te wijzen,A attribuer,To be imputed,2018-04,512,0.3883848651272871
2019,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2019-12,7468,6.667202328342752
2018,NMBS,SNCB,SNCB,2018-05,52660,29.5426112616479
2019,Derden,Tiers,Third parties,2019-12,41891,37.3990054548214
2018,Derden,Tiers,Third parties,2018-06,84058,48.280892809961976
2020,Derden,Tiers,Third parties,2020-01,42716,41.9145929821807
2018,Toe te wijzen,A attribuer,To be imputed,2018-07,164,0.1119866708547861
2020,Derden,Tiers,Third parties,2020-04,10259,38.29842834210624
2018,NMBS,SNCB,SNCB,2018-08,32693,29.70524632466517
2020,Derden,Tiers,Third parties,2020-05,29371,36.79193285732181
2018,Derden,Tiers,Third parties,2018-08,47155,42.845590506823676
2020,Derden,Tiers,Third parties,2020-07,27586,37.29803545111613
2018,NMBS,SNCB,SNCB,2018-09,52993,34.58553872460401
2020,Derden,Tiers,Third parties,2020-09,32353,29.794817011401097
